Species,FAO CODE
Sarda sarda,BON
Sardina pilchardus,PIL
Sardina pilchardus ,PIL
Sardinella aurita,SAA
Sarpa salpa,SLM
Scomber japonicus,MAS
Scomber scombrus,MAC
Scomberesox saurus,SAU
Scomberesox saurus ,SAU
Scombroidei spp,TUX
Scophthalmus maximus,TUR
Scophthalmus rhombus ,BLL
Scorpaena porcus,BBS
Scorpaena scrofa,RSE
Scyliorhinus canicula ,SYC
Scyliorhinus stellaris ,SYT
Scyllarus arctus ,SCY
Sebastes spp,RED
Sepia elegans ,EJE
Sepia officinalis ,CTC
Sepia orbignyana ,IAR
Sepia spp.,IAX
Sepiola rondeleti ,CTR
Serranus cabrilla,CBR
Serranus scriba,SRK
Solea senegalensis,OAL
Solea solea,SOL
Solen marginatus ,RAE
Sparus aurata,SBG
Sphyrna spp ,SPN
Spisula solida ,ULO
Spondyliosoma cantharus,BRB
Sprattus sprattus,SPR
Sprattus sprattus ,SPR
Squalidae ,DGX
Squaliformes spp,SHX
Squalus acanthias,DGS
Squalus blainvillei,QUB
Symphodus cinereus ,YFC
Thunnus alalunga,ALB
Thunnus albacares ,YFT
Thunnus obesus,BET
Thunnus obesus ,BET
Thunnus spp,TUS
Thunnus thynnus,BFT
Thyrsites atun ,SNK
Todarodes sagittatus,SQE
Todaropsis eblanae ,TDQ
Trachinotus spp ,POX
Trachurus mediterraneus,HMM
Trachurus picturatus ,JAA
Trachurus trachurus,HOM
Trachurus trachurus ,HOM
Trichiurus lepturus,LHT
Triglidae,GUX
Trisopterus luscus,BIB
Trisopterus minutus,POD
Ulva lactuca,UVU
Umbrina cirrosa ,COB
Undaria pinnatifida,UDP
Venerupis aurea,BNA
Venerupis pullastra,CTS
Venerupis rhomboides ,VNR
Venus verrucosa,SVE
Venus verrucosa ,VEV
Xiphias gladius,SWO
Zeugopterus punctatus,ZGP
Zeus faber,JOD
